H	M
-9844.60938	-796.61995
-9749.79346	-756.46862
-9654.88721	-814.63863
-9549.93457	-793.22053
-9454.95459	-764.307
-9354.99756	-730.37239
-9249.94775	-846.83046
-9154.83057	-798.82401
-9054.71924	-751.44646
-8949.63867	-776.10302
-8844.67236	-808.08137
-8739.77979	-778.57277
-8644.90527	-792.28221
-8550.02832	-762.96702
-8440.14063	-786.76465
-8335.27686	-788.40249
-8240.27368	-789.44782
-8135.27417	-775.57531
-8035.44238	-783.08485
-7945.52563	-785.29236
-7845.60083	-781.07878
-7750.75879	-824.91287
-7655.84302	-755.07896
-7555.93848	-778.82029
-7461.09814	-819.1325
-7356.17969	-734.35814
-7256.25	-719.51725
-7151.19482	-787.10564
-7041.22144	-784.96417
-6951.46875	-737.66305
-6856.8103	-777.31242
-6746.9707	-748.17053
-6647.05298	-760.33716
-6552.17041	-732.5798
-6457.16577	-773.02514
-6367.26587	-752.57016
-6267.4563	-760.6362
-6162.48682	-744.00483
-6062.53638	-761.59937
-5962.6731	-745.4635
-5862.73706	-724.97349
-5762.87988	-714.58285
-5662.98975	-716.1712
-5563.07935	-732.69142
-5463.15259	-685.3903
-5368.19043	-742.90255
-5273.28662	-728.79438
-5168.32764	-737.11226
-5068.33984	-704.13883
-4968.34229	-739.46312
-4863.30981	-671.16848
-4763.33105	-695.21483
-4658.40625	-692.24405
-4563.38843	-690.23844
-4473.38989	-673.72488
-4363.46362	-691.15076
-4258.46826	-667.61485
-4158.46826	-702.51094
-4053.58655	-686.75712
-3958.66919	-623.68713
-3858.59692	-634.75457
-3758.57214	-628.33111
-3658.64319	-625.15248
